Piece, Out from home, hit goal, Knock home, Move to less dangerous area, Move within knocking distance, Move to more dangerous area, Bounce off goal, Piece order, Bias
0,0.93317096,0.92979148,0.61703818,0.26187393,0.91725081,0.68699158,-0.07519426,0.30437867,0.89614362
1,0.75725345,0.88954972,0.23479119,0.4436305,0.44502326,0.5385792,-0.02830068,0.84177961,0.66102829
2,0.50558343,0.59782581,0.17641267,0.58078755,0.9017783,0.57795562,0.10305115,0.25016059,0.29484289
3,0.04905768,0.07204824,0.80424128,0.58727959,0.87294019,0.85805553,-0.11659032,0.48277498,0.58148286
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,1.14063387217328,1.13760537273236,0.857333498303412,0.539055321613827,1.12636713132133,0.92002179141072,0.236993813640379,,
,1.1319006606501,1.21935223778158,0.786538326332765,0.924587018306845,0.925507672068025,0.987350795105568,0.612627157393763,,
,0.274147974637313,0.301344984536991,0.177094316455416,0.29632137471802,0.390963215111287,0.295486400292542,0.155464193883824,,
,0.149219945071365,0.162588561653166,0.588346264624461,0.462186760612827,0.628293503290143,0.619638328623216,0.052898472278085,,
